,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,84.81%,66.24%,65.28%,64.53%,63.58%,61.36%,60.35%,59.48%,58.09%,58.01%,57.17%,56.44%,55.55%
K,64.56%,82.17%,62.27%,61.48%,60.78%,58.61%,56.83%,55.96%,54.86%,53.87%,52.79%,52.0%,51.07%
Q,63.63%,60.34%,79.49%,58.98%,58.18%,56.01%,54.37%,52.56%,51.76%,50.73%,49.78%,48.94%,48.02%
J,62.42%,59.47%,56.9%,77.12%,56.21%,54.17%,52.38%,50.55%,48.55%,47.88%,46.85%,45.85%,45.32%
T,61.51%,58.43%,55.99%,53.8%,74.63%,52.49%,50.61%,48.67%,46.87%,44.87%,44.04%,43.45%,42.37%
9,59.71%,56.42%,54.03%,51.57%,49.92%,71.66%,48.93%,47.06%,45.23%,43.41%,41.32%,40.76%,39.97%
8,58.39%,54.39%,51.78%,49.73%,47.82%,45.9%,68.74%,45.75%,43.96%,42.15%,40.2%,38.4%,37.58%
7,57.08%,53.4%,49.95%,47.73%,45.72%,44.08%,42.91%,65.72%,42.85%,41.2%,39.17%,37.22%,35.51%
6,55.69%,52.55%,48.96%,45.56%,43.92%,42.19%,40.72%,39.69%,62.81%,40.4%,38.42%,36.8%,34.86%
5,55.75%,51.25%,47.94%,44.86%,41.86%,40.22%,38.69%,37.69%,37.32%,59.71%,38.73%,36.82%,34.89%
4,54.76%,50.17%,46.96%,43.82%,41.09%,38.22%,36.75%,35.78%,35.13%,35.03%,56.31%,35.73%,34.07%
3,53.74%,49.25%,46.08%,43.08%,40.13%,37.39%,34.77%,33.91%,33.19%,33.23%,32.07%,52.82%,33.27%
2,52.92%,48.46%,45.04%,42.08%,39.18%,36.79%,33.87%,31.69%,31.09%,31.31%,30.22%,29.37%,49.26%
